date,crypto_id,avg_price,min_price,max_price,total_volume,volatility
2025-10-27,tether,1.0,1.0,1.0,212365884076,0.0
2025-10-27,bitcoin,115532.0,115532.0,115532.0,178727297541,0.0
2025-10-27,ethereum,4197.39,4197.39,4197.39,68965842660,0.0
2025-10-27,usd-coin,0.999896,0.999896,0.999896,16132892376,0.0
2025-10-27,solana,202.35,202.35,202.35,12173954222,0.0
2025-10-27,ripple,2.63,2.63,2.63,7957821330,0.0
2025-10-27,binance-bridged-usdt-bnb-smart-chain,0.9999,0.9999,0.9999,4848190080,0.0
2025-10-27,binancecoin,1155.19,1155.19,1155.19,4735925980,0.0
2025-10-27,dogecoin,0.206224,0.206224,0.206224,3890091846,0.0
2025-10-27,zcash,349.16,349.16,349.16,3071661186,0.0
2025-10-27,chainlink,18.9,18.9,18.9,2738842180,0.0
2025-10-27,cardano,0.681337,0.681337,0.681337,2356171882,0.0
2025-10-27,tron,0.301302,0.301302,0.301302,1759428206,0.0
2025-10-27,sui,2.66,2.66,2.66,1753204170,0.0
2025-10-27,hyperliquid,47.26,47.26,47.26,1298074096,0.0
2025-10-27,avalanche-2,20.86,20.86,20.86,1209364736,0.0
2025-10-27,bitcoin-cash,560.91,560.91,560.91,1187613684,0.0
2025-10-27,litecoin,99.82,99.82,99.82,1159948486,0.0
2025-10-27,coinbase-wrapped-btc,115533.0,115533.0,115533.0,966803410,0.0
2025-10-27,ethena-usde,0.999223,0.999223,0.999223,907402642,0.0
2025-10-27,ethena,0.529646,0.529646,0.529646,850459666,0.0
2025-10-27,usdt0,0.999659,0.999659,0.999659,716401508,0.0
2025-10-27,wrapped-bitcoin,115386.0,115386.0,115386.0,690545750,0.0
2025-10-27,bittensor,407.85,407.85,407.85,645746766,0.0
2025-10-27,aave,244.0,244.0,244.0,620682942,0.0
2025-10-27,uniswap,6.74,6.74,6.74,603762334,0.0
2025-10-27,mantle,1.72,1.72,1.72,404487980,0.0
2025-10-27,stellar,0.329736,0.329736,0.329736,395348496,0.0
2025-10-27,polkadot,3.21,3.21,3.21,389577220,0.0
2025-10-27,world-liberty-financial,0.14805,0.14805,0.14805,382989940,0.0
2025-10-27,monero,349.29,349.29,349.29,359457980,0.0
2025-10-27,hedera-hashgraph,0.182199,0.182199,0.182199,359418742,0.0
2025-10-27,weth,4197.06,4197.06,4197.06,352703530,0.0
2025-10-27,shiba-inu,1.056e-05,1.056e-05,1.056e-05,329927944,0.0
2025-10-27,the-open-network,2.25,2.25,2.25,296819066,0.0
2025-10-27,bitget-token,4.84,4.84,4.84,181798384,0.0
2025-10-27,dai,0.999985,0.999985,0.999985,178558450,0.0
2025-10-27,ethena-staked-usde,1.2,1.2,1.2,143568490,0.0
2025-10-27,okb,169.66,169.66,169.66,123020656,0.0
2025-10-27,whitebit,43.66,43.66,43.66,120731146,0.0
2025-10-27,staked-ether,4196.09,4196.09,4196.09,94582688,0.0
2025-10-27,crypto-com-chain,0.15441,0.15441,0.15441,42124388,0.0
2025-10-27,wrapped-beacon-eth,4533.12,4533.12,4533.12,34219548,0.0
2025-10-27,usds,0.999664,0.999664,0.999664,29394104,0.0
2025-10-27,wrapped-steth,5106.82,5106.82,5106.82,26473802,0.0
2025-10-27,memecore,2.09,2.09,2.09,22454242,0.0
2025-10-27,wrapped-eeth,4531.28,4531.28,4531.28,12483340,0.0
2025-10-27,susds,1.073,1.073,1.073,9210298,0.0
2025-10-27,leo-token,8.97,8.97,8.97,911576,0.0
2025-10-27,figure-heloc,1.0,1.0,1.0,3000,0.0
